n,comp-id,session-start,Age groups,ItemID,ItemSeq,Item,ItemType,DivID,(wrong DivID),DivisionName,RawDiv,Section Team(s),Routine,ClubID,ClubSlug,Team,Music,Sivey,Bree,,cohortKey,cohortID,team laravel,session laravel,session_division,sesssion team rank,session itmes,teamkey,teamID,sessionItemKey,sessionItemID,routine,a,a,a,a,a,a,a,a,a,a,a
42,1,2021-05-11 18:00:00,Sub Juniors,1,1,Figure March,Core,4,5,Division 4,Division 4 & 5,,8,1,Jayde,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
43,1,2021-05-11 18:00:00,Sub Juniors,1,1,Figure March,Core,4,5,Division 4,Division 4 & 5,,9,16,Largs North,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
44,1,2021-05-11 18:00:00,Sub Juniors,3,2,Rod Exercises,Core,4,5,Division 4,Division 4 & 5,,1,38,Seaford,3,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
45,1,2021-05-11 18:00:00,Sub Juniors,3,2,Rod Exercises,Core,4,5,Division 4,Division 4 & 5,,2,38,Seaford,2,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
46,1,2021-05-11 18:00:00,Sub Juniors,3,2,Rod Exercises,Core,4,5,Division 4,Division 4 & 5,,3,1,Jayde,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
47,1,2021-05-11 18:00:00,Sub Juniors,3,2,Rod Exercises,Core,4,5,Division 4,Division 4 & 5,,4,39,Cherum,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
48,1,2021-05-11 18:00:00,Sub Juniors,3,2,Rod Exercises,Core,4,5,Division 4,Division 4 & 5,,5,38,Seaford,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
49,1,2021-05-11 18:00:00,Sub Juniors,3,2,Rod Exercises,Core,4,5,Division 4,Division 4 & 5,,6,16,Largs North,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
50,1,2021-05-11 18:00:00,Sub Juniors,3,2,Rod Exercises,Core,5,4,Division 5,Division 4 & 5,,7,32,Payton,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
51,1,2021-05-11 18:00:00,Sub Juniors,3,2,Rod Exercises,Core,5,4,Division 5,Division 4 & 5,,8,10,Waratah,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
52,1,2021-05-11 18:00:00,Sub Juniors,3,2,Rod Exercises,Core,4,5,Division 4,Division 4 & 5,,9,26,Elizabeth Eastside,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
53,1,2021-05-11 18:00:00,Sub Juniors,13,3,Song and Dance,Fancy,4,5,Division 4,Division 4 & 5,,1,38,Seaford,2,Singing in the Rain,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
54,1,2021-05-11 18:00:00,Sub Juniors,13,3,Song and Dance,Fancy,5,4,Division 5,Division 4 & 5,,2,32,Payton,1,Hey Mickey!,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
55,1,2021-05-11 18:00:00,Sub Juniors,13,3,Song and Dance,Fancy,4,5,Division 4,Division 4 & 5,,3,26,Elizabeth Eastside,1,Broadway,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
56,1,2021-05-11 18:00:00,Sub Juniors,13,3,Song and Dance,Fancy,4,5,Division 4,Division 4 & 5,,4,16,Largs North,1,World of pure imagination,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
57,1,2021-05-11 18:00:00,Sub Juniors,13,3,Song and Dance,Fancy,4,5,Division 4,Division 4 & 5,,5,38,Seaford,1,Entertain You,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
58,1,2021-05-11 18:00:00,Sub Juniors,13,3,Song and Dance,Fancy,4,5,Division 4,Division 4 & 5,,6,1,Jayde,1,Suess,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
59,1,2021-05-11 18:00:00,Sub Juniors,13,3,Song and Dance,Fancy,5,4,Division 5,Division 4 & 5,,7,10,Waratah,1,Jingle Bell Rock,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
60,1,2021-05-11 18:00:00,Sub Juniors,13,3,Song and Dance,Fancy,4,5,Division 4,Division 4 & 5,,8,39,Cherum,1,I dream of Genies,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
61,1,2021-05-12 18:00:00,Sub Juniors,1,1,Figure March,Core,3,,Division 3,Division 3,Team 1 & 2,1,2,Acacia,2,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
62,1,2021-05-12 18:00:00,Sub Juniors,1,1,Figure March,Core,3,,Division 3,Division 3,Team 1 & 2,2,28,Golden Heights,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
63,1,2021-05-12 18:00:00,Sub Juniors,1,1,Figure March,Core,3,,Division 3,Division 3,Team 1 & 2,3,2,Acacia,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
