n,comp-id,session-start,Age groups,ItemID,ItemSeq,Item,ItemType,DivID,(wrong DivID),DivisionName,RawDiv,Section Team(s),Routine,ClubID,ClubSlug,Team,Music,Sivey,Bree,,cohortKey,cohortID,team laravel,session laravel,session_division,sesssion team rank,session itmes,teamkey,teamID,sessionItemKey,sessionItemID,routine,a,a,a,a,a,a,a,a,a,a,a
88,1,2021-05-13 18:00:00,Sub Juniors,13,3,Song and Dance,Fancy,0,,Championship Division,Championship Division,Team 2,1,12,Reynella Braeview,2,Winter Wonderland,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
89,1,2021-05-13 18:00:00,Sub Juniors,13,3,Song and Dance,Fancy,0,,Championship Division,Championship Division,Team 2,2,14,Plympton Halifax,2,Pinocchio,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
90,1,2021-05-13 18:00:00,Sub Juniors,13,3,Song and Dance,Fancy,0,,Championship Division,Championship Division,Team 2,3,9,Marden,2,Oliver!,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
91,1,2021-05-13 18:00:00,Sub Juniors,13,3,Song and Dance,Fancy,0,,Championship Division,Championship Division,Team 2,4,3,Innovation,2,Bless our Show,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
92,1,2021-05-13 18:00:00,Sub Juniors,13,3,Song and Dance,Fancy,0,,Championship Division,Championship Division,Team 2,5,36,Ridgehaven,2,Cruella de Vill,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
93,1,2021-05-13 19:30:00,Intermediates,2,1,Free Exercises,Core,2,,Division 2,Division 2,Team 1 & 2,1,2,Acacia,2,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
94,1,2021-05-13 19:30:00,Intermediates,2,1,Free Exercises,Core,2,,Division 2,Division 2,Team 1 & 2,2,15,Seacliff,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
95,1,2021-05-13 19:30:00,Intermediates,2,1,Free Exercises,Core,2,,Division 2,Division 2,Team 1 & 2,3,2,Acacia,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
96,1,2021-05-13 19:30:00,Intermediates,2,1,Free Exercises,Core,2,,Division 2,Division 2,Team 1 & 2,4,37,Windsor,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
97,1,2021-05-13 19:30:00,Intermediates,2,1,Free Exercises,Core,2,,Division 2,Division 2,Team 1 & 2,5,21,Pt Augusta,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
98,1,2021-05-13 19:30:00,Intermediates,2,1,Free Exercises,Core,2,,Division 2,Division 2,Team 1 & 2,6,35,Highbury,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
99,1,2021-05-13 19:30:00,Intermediates,2,1,Free Exercises,Core,2,,Division 2,Division 2,Team 1 & 2,7,28,Golden Heights,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
100,1,2021-05-13 19:30:00,Intermediates,3,2,Rod Exercises,Core,2,,Division 2,Division 2,Team 1 & 2,1,2,Acacia,2,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
101,1,2021-05-13 19:30:00,Intermediates,3,2,Rod Exercises,Core,2,,Division 2,Division 2,Team 1 & 2,2,2,Acacia,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
102,1,2021-05-13 19:30:00,Intermediates,3,2,Rod Exercises,Core,2,,Division 2,Division 2,Team 1 & 2,3,28,Golden Heights,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
103,1,2021-05-13 19:30:00,Intermediates,3,2,Rod Exercises,Core,2,,Division 2,Division 2,Team 1 & 2,4,15,Seacliff,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
104,1,2021-05-13 19:30:00,Intermediates,3,2,Rod Exercises,Core,2,,Division 2,Division 2,Team 1 & 2,5,21,Pt Augusta,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
105,1,2021-05-13 19:30:00,Intermediates,3,2,Rod Exercises,Core,2,,Division 2,Division 2,Team 1 & 2,6,35,Highbury,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
106,1,2021-05-13 19:30:00,Intermediates,3,2,Rod Exercises,Core,2,,Division 2,Division 2,Team 1 & 2,7,37,Windsor,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
107,1,2021-05-13 19:30:00,Intermediates,7,3,Rhythmic Interpretation,Fancy,2,,Division 2,Division 2,Team 1 & 2,1,2,Acacia,2,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
108,1,2021-05-13 19:30:00,Intermediates,7,3,Rhythmic Interpretation,Fancy,2,,Division 2,Division 2,Team 1 & 2,2,28,Golden Heights,1,A Rumor in St Petersberg,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
109,1,2021-05-13 19:30:00,Intermediates,7,3,Rhythmic Interpretation,Fancy,2,,Division 2,Division 2,Team 1 & 2,3,2,Acacia,1,The Music Box,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
110,1,2021-05-13 19:30:00,Intermediates,7,3,Rhythmic Interpretation,Fancy,2,,Division 2,Division 2,Team 1 & 2,4,35,Highbury,1,Arabian Nights,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
111,1,2021-05-13 19:30:00,Intermediates,7,3,Rhythmic Interpretation,Fancy,2,,Division 2,Division 2,Team 1 & 2,5,37,Windsor,1,Marionettes,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
112,1,2021-05-13 19:30:00,Intermediates,7,3,Rhythmic Interpretation,Fancy,2,,Division 2,Division 2,Team 1 & 2,6,21,Pt Augusta,1,Christmas with Attitude,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
113,1,2021-05-13 19:30:00,Intermediates,7,3,Rhythmic Interpretation,Fancy,2,,Division 2,Division 2,Team 1 & 2,7,15,Seacliff,1,The Witches,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
114,1,2021-05-14 18:00:00,Sub Juniors,1,1,Figure March,Core,2,,Division 2,Division 2,Team 2 & 3,1,6,Gawler,3,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
115,1,2021-05-14 18:00:00,Sub Juniors,1,1,Figure March,Core,2,,Division 2,Division 2,Team 2 & 3,2,6,Gawler,2,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
116,1,2021-05-14 18:00:00,Sub Juniors,1,1,Figure March,Core,2,,Division 2,Division 2,Team 2 & 3,3,27,Gleneliz,2,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
117,1,2021-05-14 18:00:00,Sub Juniors,1,1,Figure March,Core,2,,Division 2,Division 2,Team 2 & 3,4,15,Seacliff,2,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
118,1,2021-05-14 18:00:00,Sub Juniors,3,2,Rod Exercises,Core,2,,Division 2,Division 2,Team 2 & 3,1,6,Gawler,3,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
119,1,2021-05-14 18:00:00,Sub Juniors,3,2,Rod Exercises,Core,2,,Division 2,Division 2,Team 2 & 3,2,37,Windsor,2,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
120,1,2021-05-14 18:00:00,Sub Juniors,3,2,Rod Exercises,Core,2,,Division 2,Division 2,Team 2 & 3,3,15,Seacliff,2,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
121,1,2021-05-14 18:00:00,Sub Juniors,3,2,Rod Exercises,Core,2,,Division 2,Division 2,Team 2 & 3,4,6,Gawler,2,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
122,1,2021-05-14 18:00:00,Sub Juniors,3,2,Rod Exercises,Core,2,,Division 2,Division 2,Team 2 & 3,5,27,Gleneliz,2,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
123,1,2021-05-14 18:00:00,Sub Juniors,13,3,Song and Dance,Fancy,2,,Division 2,Division 2,Team 2 & 3,1,6,Gawler,3,Mary Poppins,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
124,1,2021-05-14 18:00:00,Sub Juniors,13,3,Song and Dance,Fancy,2,,Division 2,Division 2,Team 2 & 3,2,6,Gawler,2,101 Dalmations,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
125,1,2021-05-14 18:00:00,Sub Juniors,13,3,Song and Dance,Fancy,2,,Division 2,Division 2,Team 2 & 3,3,27,Gleneliz,2,It's a hard knock life,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
126,1,2021-05-14 18:00:00,Sub Juniors,13,3,Song and Dance,Fancy,2,,Division 2,Division 2,Team 2 & 3,4,15,Seacliff,2,Annie,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
127,1,2021-05-14 19:30:00,Sub Juniors,1,1,Figure March,Core,2,,Division 2,Division 2,Team 1,1,27,Gleneliz,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
128,1,2021-05-14 19:30:00,Sub Juniors,1,1,Figure March,Core,2,,Division 2,Division 2,Team 1,2,6,Gawler,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
129,1,2021-05-14 19:30:00,Sub Juniors,1,1,Figure March,Core,2,,Division 2,Division 2,Team 1,3,11,Happy Valley,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
130,1,2021-05-14 19:30:00,Sub Juniors,1,1,Figure March,Core,2,,Division 2,Division 2,Team 1,4,37,Windsor,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
131,1,2021-05-14 19:30:00,Sub Juniors,1,1,Figure March,Core,2,,Division 2,Division 2,Team 1,5,15,Seacliff,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
132,1,2021-05-14 19:30:00,Sub Juniors,3,2,Rod Exercises,Core,2,,Division 2,Division 2,Team 1,1,27,Gleneliz,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
133,1,2021-05-14 19:30:00,Sub Juniors,3,2,Rod Exercises,Core,2,,Division 2,Division 2,Team 1,2,11,Happy Valley,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
134,1,2021-05-14 19:30:00,Sub Juniors,3,2,Rod Exercises,Core,2,,Division 2,Division 2,Team 1,3,37,Windsor,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
135,1,2021-05-14 19:30:00,Sub Juniors,3,2,Rod Exercises,Core,2,,Division 2,Division 2,Team 1,4,15,Seacliff,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
136,1,2021-05-14 19:30:00,Sub Juniors,3,2,Rod Exercises,Core,2,,Division 2,Division 2,Team 1,5,6,Gawler,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
137,1,2021-05-14 19:30:00,Sub Juniors,13,3,Song and Dance,Fancy,2,,Division 2,Division 2,Team 1,1,37,Windsor,1,Mama I'm a Big Girl Now,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
138,1,2021-05-14 19:30:00,Sub Juniors,13,3,Song and Dance,Fancy,2,,Division 2,Division 2,Team 1,2,6,Gawler,1,What a Jolly Jingly Surprise,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
139,1,2021-05-14 19:30:00,Sub Juniors,13,3,Song and Dance,Fancy,2,,Division 2,Division 2,Team 1,3,27,Gleneliz,1,Up on the Stage,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
140,1,2021-05-14 19:30:00,Sub Juniors,13,3,Song and Dance,Fancy,2,,Division 2,Division 2,Team 1,4,15,Seacliff,1,Matilda,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
141,1,2021-05-14 19:30:00,Sub Juniors,13,3,Song and Dance,Fancy,2,,Division 2,Division 2,Team 1,5,11,Happy Valley,1,Annie,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
142,1,2021-05-17 18:00:00,Seniors,1,1,Figure March,Core,0,,Championship Division,Championship Division,,1,7,AVV Millennium,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
143,1,2021-05-17 18:00:00,Seniors,1,1,Figure March,Core,0,,Championship Division,Championship Division,,2,40,Del Sante Gardens,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
144,1,2021-05-17 18:00:00,Seniors,1,1,Figure March,Core,0,,Championship Division,Championship Division,,3,8,Burnside,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
145,1,2021-05-17 18:00:00,Seniors,1,1,Figure March,Core,0,,Championship Division,Championship Division,,4,6,Gawler,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
146,1,2021-05-17 18:00:00,Seniors,1,1,Figure March,Core,0,,Championship Division,Championship Division,,5,3,Innovation,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
147,1,2021-05-17 18:00:00,Seniors,1,1,Figure March,Core,0,,Championship Division,Championship Division,,6,9,Marden,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
148,1,2021-05-17 18:00:00,Seniors,4,2,Club Swinging,Core,0,,Championship Division,Championship Division,Team 1 & 2,1,3,Innovation,2,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
149,1,2021-05-17 18:00:00,Seniors,4,2,Club Swinging,Core,0,,Championship Division,Championship Division,Team 1 & 2,2,9,Marden,2,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
150,1,2021-05-17 18:00:00,Seniors,4,2,Club Swinging,Core,0,,Championship Division,Championship Division,Team 1 & 2,3,3,Innovation,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
151,1,2021-05-17 18:00:00,Seniors,4,2,Club Swinging,Core,0,,Championship Division,Championship Division,Team 1 & 2,4,6,Gawler,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
152,1,2021-05-17 18:00:00,Seniors,4,2,Club Swinging,Core,0,,Championship Division,Championship Division,Team 1 & 2,5,8,Burnside,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
153,1,2021-05-17 18:00:00,Seniors,4,2,Club Swinging,Core,0,,Championship Division,Championship Division,Team 1 & 2,6,7,AVV Millennium,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
154,1,2021-05-17 18:00:00,Seniors,4,2,Club Swinging,Core,0,,Championship Division,Championship Division,Team 1 & 2,7,9,Marden,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
155,1,2021-05-17 18:00:00,Seniors,4,2,Club Swinging,Core,0,,Championship Division,Championship Division,Team 1 & 2,8,40,Del Sante Gardens,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
156,1,2021-05-17 18:00:00,Seniors,6,3,Rhythmical Aesthetic,Fancy,0,,Championship Division,Championship Division,,1,7,AVV Millennium,1,Upon the Hour,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
157,1,2021-05-17 18:00:00,Seniors,6,3,Rhythmical Aesthetic,Fancy,0,,Championship Division,Championship Division,,2,8,Burnside,1,A Sunburnt Country,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
158,1,2021-05-17 18:00:00,Seniors,6,3,Rhythmical Aesthetic,Fancy,0,,Championship Division,Championship Division,,3,3,Innovation,1,Empowerment,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
159,1,2021-05-17 18:00:00,Seniors,6,3,Rhythmical Aesthetic,Fancy,0,,Championship Division,Championship Division,,4,9,Marden,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
160,1,2021-05-17 18:00:00,Seniors,6,3,Rhythmical Aesthetic,Fancy,0,,Championship Division,Championship Division,,5,6,Gawler,1,Pearl Harbour,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
161,1,2021-05-17 18:00:00,Seniors,6,3,Rhythmical Aesthetic,Fancy,0,,Championship Division,Championship Division,,6,40,Del Sante Gardens,1,The Wild Wild West,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
162,1,2021-05-18 18:00:00,Sub Juniors,1,1,Figure March,Core,0,,Championship Division,Championship Division,Team 1,1,14,Plympton Halifax,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
163,1,2021-05-18 18:00:00,Sub Juniors,1,1,Figure March,Core,0,,Championship Division,Championship Division,Team 1,2,8,Burnside,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
164,1,2021-05-18 18:00:00,Sub Juniors,1,1,Figure March,Core,0,,Championship Division,Championship Division,Team 1,3,9,Marden,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
165,1,2021-05-18 18:00:00,Sub Juniors,1,1,Figure March,Core,0,,Championship Division,Championship Division,Team 1,4,36,Ridgehaven,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
166,1,2021-05-18 18:00:00,Sub Juniors,1,1,Figure March,Core,0,,Championship Division,Championship Division,Team 1,5,12,Reynella Braeview,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
167,1,2021-05-18 18:00:00,Sub Juniors,1,1,Figure March,Core,0,,Championship Division,Championship Division,Team 1,6,3,Innovation,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
168,1,2021-05-18 18:00:00,Sub Juniors,3,2,Rod Exercises,Core,0,,Championship Division,Championship Division,Team 1,1,14,Plympton Halifax,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
169,1,2021-05-18 18:00:00,Sub Juniors,3,2,Rod Exercises,Core,0,,Championship Division,Championship Division,Team 1,2,36,Ridgehaven,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
170,1,2021-05-18 18:00:00,Sub Juniors,3,2,Rod Exercises,Core,0,,Championship Division,Championship Division,Team 1,3,8,Burnside,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
171,1,2021-05-18 18:00:00,Sub Juniors,3,2,Rod Exercises,Core,0,,Championship Division,Championship Division,Team 1,4,3,Innovation,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
172,1,2021-05-18 18:00:00,Sub Juniors,3,2,Rod Exercises,Core,0,,Championship Division,Championship Division,Team 1,5,12,Reynella Braeview,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
173,1,2021-05-18 18:00:00,Sub Juniors,3,2,Rod Exercises,Core,0,,Championship Division,Championship Division,Team 1,6,9,Marden,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
174,1,2021-05-18 18:00:00,Sub Juniors,13,3,Song and Dance,Fancy,0,,Championship Division,Championship Division,Team 1,1,3,Innovation,1,A day with Mary,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
175,1,2021-05-18 18:00:00,Sub Juniors,13,3,Song and Dance,Fancy,0,,Championship Division,Championship Division,Team 1,2,8,Burnside,1,I've got Rhythm,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
176,1,2021-05-18 18:00:00,Sub Juniors,13,3,Song and Dance,Fancy,0,,Championship Division,Championship Division,Team 1,3,12,Reynella Braeview,1,J'adore Paris,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
177,1,2021-05-18 18:00:00,Sub Juniors,13,3,Song and Dance,Fancy,0,,Championship Division,Championship Division,Team 1,4,36,Ridgehaven,1,Welcome to Paris,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
178,1,2021-05-18 18:00:00,Sub Juniors,13,3,Song and Dance,Fancy,0,,Championship Division,Championship Division,Team 1,5,14,Plympton Halifax,1,Pinocchio,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
179,1,2021-05-18 18:00:00,Sub Juniors,13,3,Song and Dance,Fancy,0,,Championship Division,Championship Division,Team 1,6,9,Marden,1,The Sweets Shop,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
